title,rank,meta,rating
When Life Gives You Tangerines,#1,"Korean Drama - 2025, 16 episodes",9.3
Twinkling Watermelon,#2,"Korean Drama - 2023, 16 episodes",9.2
Move to Heaven,#3,"Korean Drama - 2021, 10 episodes",9.1
Weak Hero Class 1,#4,"Korean Drama - 2022, 8 episodes",9.1
Alchemy of Souls,#5,"Korean Drama - 2022, 20 episodes",9.1
The Trauma Code: Heroes on Call,#6,"Korean Drama - 2025, 8 episodes",9.1
Pursuit of Jade,#7,"Chinese Drama - 2026, 40 episodes",9.1
Hospital Playlist Season 2,#8,"Korean Drama - 2021, 12 episodes",9.1
Flower of Evil,#9,"Korean Drama - 2020, 16 episodes",9.0
Reply 1988,#10,"Korean Drama - 2015, 20 episodes",9.0
Moving,#11,"Korean Drama - 2023, 20 episodes",9.0
The Untamed Special Edition,#12,"Chinese Special - 2019, 20 episodes",9.0
Hospital Playlist,#13,"Korean Drama - 2020, 12 episodes",9.0
When I Fly Towards You,#14,"Chinese Drama - 2023, 24 episodes",9.0
Nirvana in Fire,#15,"Chinese Drama - 2015, 54 episodes",9.0
Teach You a Lesson,#16,"Korean Drama - 2026, 10 episodes",9.0
Hidden Love,#17,"Chinese Drama - 2023, 25 episodes",9.0
Under the Queen's Umbrella,#18,"Korean Drama - 2022, 16 episodes",9.0
Crash Landing on You,#19,"Korean Drama - 2019, 16 episodes",9.0
The Untamed,#20,"Chinese Drama - 2019, 50 episodes",9.0
Reset,#21,"Chinese Drama - 2022, 15 episodes",9.0
One Liter of Tears,#22,"Japanese Drama - 2005, 11 episodes",8.9
Lovely Runner,#23,"Korean Drama - 2024, 16 episodes",8.9
Joy of Life,#24,"Chinese Drama - 2019, 46 episodes",8.9
My Mister,#25,"Korean Drama - 2018, 16 episodes",8.9
The Glory Part 2,#26,"Korean Drama - 2023, 8 episodes",8.9
Mr. Queen,#27,"Korean Drama - 2020, 20 episodes",8.9
Mysterious Lotus Casebook,#28,"Chinese Drama - 2023, 40 episodes",8.9
Prison Playbook,#29,"Korean Drama - 2017, 16 episodes",8.9
My Dearest,#30,"Korean Drama - 2023, 10 episodes",8.9
Mother,#31,"Korean Drama - 2018, 16 episodes",8.9
Alice in Borderland Season 2,#32,"Japanese Drama - 2022, 8 episodes",8.9
Alchemy of Souls Season 2: Light and Shadow,#33,"Korean Drama - 2022, 10 episodes",8.9
Taxi Driver Season 2,#34,"Korean Drama - 2023, 16 episodes",8.9
Alice in Borderland,#35,"Japanese Drama - 2020, 8 episodes",8.9
The Spirealm,#36,"Chinese Drama - 2024, 78 episodes",8.9
The Prisoner of Beauty,#37,"Chinese Drama - 2025, 36 episodes",8.9
The Glory,#38,"Korean Drama - 2022, 8 episodes",8.9
The Good Bad Mother,#39,"Korean Drama - 2023, 14 episodes",8.9
Love Like the Galaxy: Part 2,#40,"Chinese Drama - 2022, 29 episodes",8.9
Navillera,#41,"Korean Drama - 2021, 12 episodes",8.9
My Dearest Part 2,#42,"Korean Drama - 2023, 11 episodes",8.9
Mouse,#43,"Korean Drama - 2021, 20 episodes",8.9
Dr. Romantic Season 3,#44,"Korean Drama - 2023, 16 episodes",8.9
Love Like the Galaxy: Part 1,#45,"Chinese Drama - 2022, 27 episodes",8.9
Vincenzo,#46,"Korean Drama - 2021, 20 episodes",8.9
Kingdom Season 2,#47,"Korean Drama - 2020, 6 episodes",8.9
The First Frost,#48,"Chinese Drama - 2025, 32 episodes",8.8
Study Group,#49,"Korean Drama - 2025, 10 episodes",8.8
Joy of Life Season 2,#50,"Chinese Drama - 2024, 36 episodes",8.8
Go Ahead,#51,"Chinese Drama - 2020, 46 episodes",8.8
Love in the Clouds,#52,"Chinese Drama - 2025, 36 episodes",8.8
Twelve Letters,#53,"Chinese Drama - 2025, 12 episodes",8.8
Weak Hero Class 2,#54,"Korean Drama - 2025, 8 episodes",8.8
Extraordinary Attorney Woo,#55,"Korean Drama - 2022, 16 episodes",8.8
Signal,#56,"Korean Drama - 2016, 16 episodes",8.8
It's Okay to Not Be Okay,#57,"Korean Drama - 2020, 16 episodes",8.8
